ID,Job_Title,Salary_Estimate,Rating,Company_Name,Size,Founded,Type_of_Ownership,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark,aws,excel
94,Other Data related Job,$52K-$93K (Glassdoor est.),4.2,Scientific Research Corporation,1001 to 5000,1988,Company - Private,Information Technology,$100 to $500 million (USD),0,0,52,93,72.5, MD,32,0,0,0,0,1
95,Scientist,$55K-$116K (Glassdoor est.),3.4,General Dynamics Information Technology,10000+,1996,Subsidiary or Business Segment,Information Technology,$10+ billion (USD),0,0,55,116,85.5, MD,24,0,0,0,0,0
96,Data Scientist,$72K-$123K (Glassdoor est.),3.2,MITRE,5001 to 10000,1958,Nonprofit Organization,Government,$1 to $2 billion (USD),0,0,72,123,97.5, VA,62,1,0,0,0,1
97,Data Scientist,$74K-$124K (Glassdoor est.),3.9,The Buffalo Group,501 to 1000,2010,Company - Private,Information Technology,$100 to $500 million (USD),0,0,74,124,99.0, VA,10,1,0,0,0,1
98,Data Analyst,$40K-$73K (Glassdoor est.),3.1,DentaQuest,1001 to 5000,2001,Company - Private,Insurance,$2 to $5 billion (USD),0,0,40,73,56.5, WI,19,0,0,0,0,1
99,Lead Data Scientist,$102K-$164K (Glassdoor est.),4.1,Redjack,1 to 50,2007,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,102,164,133.0, MD,13,1,0,0,0,0
100,Data Scientist,$89K-$153K (Glassdoor est.),3.8,7Park Data,51 to 200,2012,Company - Private,Business Services,Unknown / Non-Applicable,0,0,89,153,121.0, NY,8,1,0,1,0,0
101,Data Scientist,$61K-$110K (Glassdoor est.),4.7,Rapid Response Monitoring,501 to 1000,1992,Company - Private,Business Services,Unknown / Non-Applicable,0,0,61,110,85.5, NY,28,1,0,0,0,0
102,Other Data related Job,$65K-$110K (Glassdoor est.),4.3,Trilogy Ed,1001 to 5000,2015,Subsidiary or Business Segment,Education,Unknown / Non-Applicable,0,0,65,110,87.5, TX,5,1,0,0,0,0
103,Senior Data Scientist,$200K-$275K(Employer est.),4.2,Gallup,1001 to 5000,1935,Company - Private,Business Services,Unknown / Non-Applicable,0,0,200,275,237.5, DC,85,1,0,0,0,1
104,Data Engineer,$68K-$123K (Glassdoor est.),3.9,CapTech,1001 to 5000,1997,Company - Private,Information Technology,$100 to $500 million (USD),0,0,68,123,95.5, NC,23,1,0,1,0,0
105,Senior Data Scientist,$80K-$129K (Glassdoor est.),3.3,American Axle & Manufacturing,10000+,1994,Company - Public,Manufacturing,$5 to $10 billion (USD),0,0,80,129,104.5, MI,26,1,0,1,1,1
106,Other Data related Job,$41K-$72K (Glassdoor est.),4.7,CentralReach,201 to 500,2012,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,41,72,56.5, NJ,8,0,0,0,0,1
107,Senior Data Analyst,$39K-$71K (Glassdoor est.),4.3,Integrate,201 to 500,2010,Company - Private,Information Technology,$25 to $50 million (USD),0,0,39,71,55.0, AZ,10,0,0,0,0,1
108,Research Scientist,$38K-$85K (Glassdoor est.),2.9,Boys Town Hospital,1001 to 5000,1977,Hospital,Health Care,Unknown / Non-Applicable,0,0,38,85,61.5, NE,43,0,0,0,0,1
